IDIndikator;skrIndikator;IDTer;nTer;God+Mes;nVrTacka;nProizvod;IDVrPod;nVrPod;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Pšenica;1;požnjevena površina, ha / rodna površina, ha;29676;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Pšenica;2;ukupan prinos, t;171705;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Pšenica;3;prinos, t/ha;5.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Ječam;1;požnjevena površina, ha / rodna površina, ha;7483;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Ječam;2;ukupan prinos, t;41254;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Ječam;3;prinos, t/ha;5.5;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;39918;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Kukuruz;2;ukupan prinos, t;236235;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202100;2021;Kukuruz;3;prinos, t/ha;5.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Pšenica;1;požnjevena površina, ha / rodna površina, ha;32174;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Pšenica;2;ukupan prinos, t;160996;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Pšenica;3;prinos, t/ha;5.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Ječam;1;požnjevena površina, ha / rodna površina, ha;7402;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Ječam;2;ukupan prinos, t;34190;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Ječam;3;prinos, t/ha;4.6;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;36414;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Kukuruz;2;ukupan prinos, t;173404;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202200;2022;Kukuruz;3;prinos, t/ha;4.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Pšenica;1;požnjevena površina, ha / rodna površina, ha;34105;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Pšenica;2;ukupan prinos, t;164215;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Pšenica;3;prinos, t/ha;4.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Ječam;1;požnjevena površina, ha / rodna površina, ha;7607;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Ječam;2;ukupan prinos, t;35674;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Ječam;3;prinos, t/ha;4.7;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;35573;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Kukuruz;2;ukupan prinos, t;216319;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202300;2023;Kukuruz;3;prinos, t/ha;6.1;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Pšenica;1;požnjevena površina, ha / rodna površina, ha;29027;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;202400;2024;Pšenica;2;ukupan prinos, t;159910;A;Konačan podatak;F;Slobodan za objavlјivanje;;
