proizvod,poreklo,datum,mesto_id,cena
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.11.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.11.2012,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.12.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.12.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.12.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.12.2012,Beograd-maloprodaja,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.12.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,31.12.2012,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.01.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.01.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.01.2013,Beograd-pijaca,32.00
"Kukuruz (okrunjen, veštački sušen) p:džak 50kg",Domaće,28.01.2013,Beograd-pijaca,32.00
"Kukuruz (okrunjen, veštački sušen) p:džak 50kg",Domaće,04.02.2013,Beograd-pijaca,32.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.02.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.02.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.02.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, veštački sušen) p:džak 50kg",Domaće,04.03.2013,Beograd-pijaca,30.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.03.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.03.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.03.2013,Beograd-pijaca,28.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.04.2013,Beograd-pijaca,30.00
